date,cases
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,8
2020-02-29,3
2020-03-01,0
2020-03-02,5
2020-03-03,13
2020-03-04,30
2020-03-05,25
2020-03-06,59
2020-03-07,33
2020-03-08,46
2020-03-09,101
2020-03-10,98
2020-03-11,196
2020-03-12,151
2020-03-13,152
2020-03-14,71
2020-03-15,69
2020-03-16,83
2020-03-17,119
2020-03-18,145
2020-03-19,143
2020-03-20,180
2020-03-21,135
2020-03-22,118
2020-03-23,182
2020-03-24,230
2020-03-25,314
2020-03-26,286
2020-03-27,365
2020-03-28,300
2020-03-29,280
2020-03-30,416
2020-03-31,475
2020-04-01,486
2020-04-02,554
2020-04-03,601
2020-04-04,357
2020-04-05,340
2020-04-06,389
2020-04-07,738
2020-04-08,655
2020-04-09,645
2020-04-10,454
2020-04-11,395
2020-04-12,464
2020-04-13,437
2020-04-14,479
2020-04-15,604
2020-04-16,623
2020-04-17,688
2020-04-18,532
2020-04-19,388
2020-04-20,461
2020-04-21,707
2020-04-22,722
2020-04-23,758
2020-04-24,779
2020-04-25,473
2020-04-26,300
2020-04-27,563
2020-04-28,742
2020-04-29,798
2020-04-30,635
2020-05-01,532
2020-05-02,299
2020-05-03,261
2020-05-04,476
2020-05-05,657
2020-05-06,746
2020-05-07,787
2020-05-08,700
2020-05-09,509
2020-05-10,278
2020-05-11,455
2020-05-12,754
2020-05-13,700
2020-05-14,660
2020-05-15,688
2020-05-16,358
2020-05-17,259
2020-05-18,431
2020-05-19,667
2020-05-20,808
2020-05-21,610
2020-05-22,532
2020-05-23,403
2020-05-24,210
2020-05-25,490
2020-05-26,746
2020-05-27,800
2020-05-28,774
2020-05-29,773
2020-05-30,432
2020-05-31,265
2020-06-01,648
2020-06-02,901
2020-06-03,1046
2020-06-04,1039
2020-06-05,1146
2020-06-06,783
2020-06-07,462
2020-06-08,677
2020-06-09,936
2020-06-10,1437
2020-06-11,1294
2020-06-12,1337
2020-06-13,1042
2020-06-14,418
2020-06-15,684
2020-06-16,1218
2020-06-17,1457
2020-06-18,1496
2020-06-19,1213
2020-06-20,702
2020-06-21,321
2020-06-22,800
2020-06-23,1312
2020-06-24,1698
2020-06-25,1281
2020-06-26,1203
2020-06-27,760
2020-06-28,420
2020-06-29,727
2020-06-30,805
2020-07-01,684
2020-07-02,689
2020-07-03,699
2020-07-04,370
2020-07-05,315
2020-07-06,251
2020-07-07,278
2020-07-08,537
2020-07-09,335
2020-07-10,377
2020-07-11,314
2020-07-12,106
2020-07-13,170
2020-07-14,315
2020-07-15,299
2020-07-16,273
2020-07-17,299
2020-07-18,200
2020-07-19,110
2020-07-20,131
2020-07-21,226
2020-07-22,297
2020-07-23,220
2020-07-24,262
2020-07-25,138
2020-07-26,42
2020-07-27,71
2020-07-28,283
2020-07-29,301
2020-07-30,302
2020-07-31,258
2020-08-01,303
2020-08-02,38
2020-08-03,165
2020-08-04,334
2020-08-05,425
2020-08-06,378
2020-08-07,380
2020-08-08,260
2020-08-09,73
2020-08-10,196
2020-08-11,417
2020-08-12,444
2020-08-13,362
2020-08-14,344
2020-08-15,226
2020-08-16,63
2020-08-17,174
2020-08-18,314
2020-08-19,351
2020-08-20,333
2020-08-21,298
2020-08-22,160
2020-08-23,57
2020-08-24,182
2020-08-25,225
2020-08-26,246
2020-08-27,134
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,421
2020-09-01,142
2020-09-02,11
2020-09-03,197
2020-09-04,256
2020-09-05,0
2020-09-06,0
2020-09-07,573
2020-09-08,149
2020-09-09,173
2020-09-10,314
2020-09-11,311
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,840
2020-09-16,230
2020-09-17,310
2020-09-18,352
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,1199
2020-09-23,320
2020-09-24,533
2020-09-25,634
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,1543
2020-09-30,397
2020-10-01,752
2020-10-02,668
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,1862
2020-10-07,532
2020-10-08,855
2020-10-09,919
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,2203
2020-10-14,678
2020-10-15,1075
2020-10-16,793
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,3180
2020-10-21,975
2020-10-22,1614
2020-10-23,1625
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,5191
2020-10-28,2128
2020-10-29,3254
2020-10-30,3188
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,10177
2020-11-04,3198
2020-11-05,4034
2020-11-06,4697
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,15779
2020-11-11,4467
2020-11-12,4658
2020-11-13,5990
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,15084
2020-11-18,4007
2020-11-19,4609
2020-11-20,7240
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,17265
2020-11-25,4954
2020-11-26,5841
2020-11-27,6774
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,17629
2020-12-02,5400
2020-12-03,6485
2020-12-04,6269
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,18820
2020-12-09,7061
2020-12-10,7935
2020-12-11,7370
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,20931
2020-12-16,7556
2020-12-17,8881
2020-12-18,9654
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,22319
2020-12-23,6609
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,32485
2020-12-30,8846
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,32369
2021-01-06,0
2021-01-07,12536
2021-01-08,7187
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,17395
2021-01-13,5337
2021-01-14,6580
2021-01-15,4703
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,9779
2021-01-20,4702
2021-01-21,4985
2021-01-22,4214
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,9123
2021-01-27,4183
2021-01-28,4085
2021-01-29,2400
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,9649
2021-02-03,4310
2021-02-04,3758
2021-02-05,3388
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,8112
2021-02-10,4070
2021-02-11,4333
2021-02-12,3834
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,9458
2021-02-17,4233
2021-02-18,4920
2021-02-19,4144
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,10933
2021-02-24,5371
2021-02-25,4995
2021-02-26,4844
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,11804
2021-03-03,6179
2021-03-04,4838
2021-03-05,4831
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,11014
2021-03-10,5917
2021-03-11,5300
2021-03-12,5335
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,12762
2021-03-17,6781
2021-03-18,6467
2021-03-19,5735
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,14063
2021-03-24,7649
2021-03-25,7706
2021-03-26,6328
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,16427
2021-03-31,8441
2021-04-01,8305
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,21802
2021-04-07,6814
2021-04-08,7822
2021-04-09,7772
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,19105
2021-04-14,8879
2021-04-15,7095
2021-04-16,7658
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,16692
2021-04-21,7510
2021-04-22,7736
2021-04-23,6267
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,14911
2021-04-28,7266
2021-04-29,7158
2021-04-30,5926
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,14950
2021-05-05,7041
2021-05-06,6526
2021-05-07,5671
2021-05-08,0
2021-05-09,0
2021-05-10,0
2021-05-11,13812
2021-05-12,6330
2021-05-13,0
2021-05-14,9192
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,10017
2021-05-19,4619
2021-05-20,3411
2021-05-21,3168
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,6034
2021-05-26,2732
2021-05-27,1366
2021-05-28,0
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,0
2021-06-02,0
2021-06-03,8520
2021-06-04,1069
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,2671
2021-06-09,1165
2021-06-10,831
2021-06-11,727
2021-06-12,0
2021-06-13,0
2021-06-14,0
2021-06-15,1180
2021-06-16,0
2021-06-17,0
2021-06-18,0
2021-06-19,0
2021-06-20,0
2021-06-21,0
2021-06-22,3378
2021-06-23,504
2021-06-24,378
2021-06-25,0
2021-06-26,0
2021-06-27,0
2021-06-28,0
2021-06-29,847
2021-06-30,247
2021-07-01,563
2021-07-02,327
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,850
2021-07-07,353
2021-07-08,225
2021-07-09,232
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,669
2021-07-14,367
2021-07-15,347
2021-07-16,364
2021-07-17,0
2021-07-18,0
2021-07-19,0
2021-07-20,992
2021-07-21,479
2021-07-22,583
2021-07-23,458
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,1355
2021-07-28,641
2021-07-29,619
2021-07-30,626
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-03,1860
2021-08-04,929
2021-08-05,864
2021-08-06,845
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,2283
2021-08-11,1236
2021-08-12,1055
2021-08-13,1035
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,2811
2021-08-18,1320
2021-08-19,1288
2021-08-20,1018
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,2774
2021-08-25,1270
2021-08-26,1511
2021-08-27,1274
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,3400
2021-09-01,1104
2021-09-02,1214
2021-09-03,1394
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,2924
2021-09-08,1711
2021-09-09,1375
2021-09-10,1482
2021-09-11,0
2021-09-12,0
2021-09-13,0
2021-09-14,3656
2021-09-15,1097
2021-09-16,1203
2021-09-17,1009
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,1986
2021-09-22,911
2021-09-23,762
2021-09-24,766
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,1766
2021-09-29,854
2021-09-30,859
2021-10-01,769
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,1879
2021-10-06,714
2021-10-07,835
2021-10-08,739
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,1738
2021-10-13,905
2021-10-14,799
2021-10-15,669
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,1662
2021-10-20,807
2021-10-21,792
2021-10-22,802
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,2275
2021-10-27,1259
2021-10-28,892
2021-10-29,1090
2021-10-30,0
2021-10-31,0
2021-11-01,0
2021-11-02,2761
2021-11-03,1152
2021-11-04,844
2021-11-05,825
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,2098
2021-11-10,1326
2021-11-11,1014
2021-11-12,939
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,2622
2021-11-17,1294
2021-11-18,1220
2021-11-19,1128
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,3825
2021-11-24,2076
2021-11-25,2052
2021-11-26,2160
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,6011
2021-12-01,2639
2021-12-02,2437
2021-12-03,2210
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,7412
2021-12-08,3335
2021-12-09,3163
2021-12-10,3162
2021-12-11,0
2021-12-12,0
2021-12-13,0
2021-12-14,9472
2021-12-15,4044
2021-12-16,4022
2021-12-17,4130
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,12681
2021-12-22,4688
2021-12-23,5059
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,0
2021-12-28,21247
2021-12-29,9103
2021-12-30,11121
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,42969
2022-01-05,17514
2022-01-06,0
2022-01-07,41383
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,70641
2022-01-12,21939
2022-01-13,25567
2022-01-14,25566
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,97248
2022-01-19,42725
2022-01-20,41374
2022-01-21,42295
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,138985
2022-01-26,50495
2022-01-27,41791
2022-01-28,55180
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,113454
2022-02-02,39205
2022-02-03,36541
2022-02-04,28129
