Entity,Code,Day,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces
Sweden,SWE,2020-02-17,-4,-3.333,1.333,-4.333,-10,-4.333
Sweden,SWE,2020-02-18,-3,-2.5,1.25,-4.25,-4.25,-4.5
Sweden,SWE,2020-02-19,-1.8,-1.8,1.2,-4,1.8,-4.6
Sweden,SWE,2020-02-20,-1.333,-1.333,1.167,-4.333,1.333,-4.833
Sweden,SWE,2020-02-21,-0.429,-1.143,1.143,-4,4.286,-5.143
Sweden,SWE,2020-02-22,-0.714,-1.286,1.286,-4.857,2.429,-5.286
Sweden,SWE,2020-02-23,1,-0.286,1,-3.286,10,-4.714
Sweden,SWE,2020-02-24,1.857,0.143,0.857,-2.857,13.857,-4.429
Sweden,SWE,2020-02-25,3,1.429,0.857,-2.714,13.143,-4.286
Sweden,SWE,2020-02-26,3.286,1.571,0.857,-3,10,-4.143
Sweden,SWE,2020-02-27,4.143,2,0.857,-2.429,11.571,-4
Sweden,SWE,2020-02-28,4.429,2.286,0.857,-2.286,10.714,-3.857
Sweden,SWE,2020-02-29,5.571,3,0.714,-1.286,13.286,-3.429
Sweden,SWE,2020-03-01,5.143,2.714,0.857,-2.143,9,-3.571
Sweden,SWE,2020-03-02,5,3,0.857,-2.143,7,-3.286
Sweden,SWE,2020-03-03,3.857,2,0.857,-2.286,6.571,-3
Sweden,SWE,2020-03-04,2.857,1.571,0.857,-2.286,5.714,-2.714
Sweden,SWE,2020-03-05,1.857,1.429,0.857,-2.571,5.429,-2.286
Sweden,SWE,2020-03-06,1.143,1.286,0.857,-2.571,6.571,-1.714
Sweden,SWE,2020-03-07,0.714,1.286,0.857,-2.429,10.571,-1.714
Sweden,SWE,2020-03-08,1,1.286,0.857,-2.429,11.571,-1.571
Sweden,SWE,2020-03-09,0.571,1,0.857,-2.714,11.286,-1.286
Sweden,SWE,2020-03-10,0,0.857,0.857,-3,11,-1
Sweden,SWE,2020-03-11,-0.286,1.571,1,-3.286,12.714,-0.857
Sweden,SWE,2020-03-12,-2,2.714,1.429,-5,9.143,-1.143
Sweden,SWE,2020-03-13,-4.143,3.714,2.143,-7.571,5.143,-2.286
Sweden,SWE,2020-03-14,-7.286,4.429,2.571,-10.286,8.429,-3.143
Sweden,SWE,2020-03-15,-11,4.429,3.143,-13.714,6.286,-4.429
Sweden,SWE,2020-03-16,-13.429,4.857,4.143,-16.571,6.714,-6.857
Sweden,SWE,2020-03-17,-16.286,4.714,5.286,-20.286,6.571,-9.857
Sweden,SWE,2020-03-18,-19.429,3.714,6.571,-24.571,5.286,-13.571
Sweden,SWE,2020-03-19,-20.857,1.857,7.571,-27.286,13.429,-17
Sweden,SWE,2020-03-20,-22.429,0,8.429,-29.857,15.571,-19.571
Sweden,SWE,2020-03-21,-23.714,-2,8.857,-32,16.571,-20.571
Sweden,SWE,2020-03-22,-23.857,-3,8.857,-32.429,26.857,-21.286
Sweden,SWE,2020-03-23,-24.714,-4.571,9.286,-34.286,26.429,-22.714
Sweden,SWE,2020-03-24,-24.857,-5.571,9.571,-35,29.286,-23.714
Sweden,SWE,2020-03-25,-23.857,-5,9.571,-34.857,32.714,-23.857
Sweden,SWE,2020-03-26,-23.286,-5,9.571,-34.857,33.857,-23.857
Sweden,SWE,2020-03-27,-22.571,-5,9.429,-34.571,38.429,-24
Sweden,SWE,2020-03-28,-22.286,-4.857,9.429,-34.714,36.429,-24.286
Sweden,SWE,2020-03-29,-22,-5,9.429,-35.143,34.429,-24.714
Sweden,SWE,2020-03-30,-21.571,-5.286,9.429,-35.286,34.429,-25
Sweden,SWE,2020-03-31,-21.143,-5.286,9.429,-35.286,35.143,-25.143
Sweden,SWE,2020-04-01,-21.571,-6.143,9.429,-35.571,35.429,-25.286
Sweden,SWE,2020-04-02,-22.857,-7,9.714,-36.714,27.714,-25.571
Sweden,SWE,2020-04-03,-23.714,-7.286,10,-37.571,22.429,-25.857
Sweden,SWE,2020-04-04,-24,-7.429,10,-38,23.143,-26
Sweden,SWE,2020-04-05,-24.143,-7.286,10.143,-38.143,26.857,-26
Sweden,SWE,2020-04-06,-22.714,-6.143,10.143,-37.571,38.857,-27
Sweden,SWE,2020-04-07,-21.429,-4.857,10.143,-37.571,44.286,-28
Sweden,SWE,2020-04-08,-19.429,-2.857,10,-37.286,51.429,-29.143
Sweden,SWE,2020-04-09,-16,0.857,9.857,-36.429,63.857,-31.143
Sweden,SWE,2020-04-10,-18.857,-1,11,-38.286,81.429,-38.143
Sweden,SWE,2020-04-11,-21,-2.429,11,-38.857,85.286,-39.286
Sweden,SWE,2020-04-12,-22.286,-3.571,11,-39.714,83.143,-40.143
Sweden,SWE,2020-04-13,-26,-6.143,12.714,-43.429,76.143,-46.714
Sweden,SWE,2020-04-14,-26.857,-7.286,12.714,-43.571,71.429,-46
Sweden,SWE,2020-04-15,-28.429,-9.286,12.857,-43.429,69.429,-45.143
Sweden,SWE,2020-04-16,-30.714,-12.286,12.714,-43.429,65,-43.286
Sweden,SWE,2020-04-17,-26.857,-9.857,11.286,-40.857,54.571,-36.429
Sweden,SWE,2020-04-18,-24.571,-8.429,11.143,-39.429,54.429,-34.714
Sweden,SWE,2020-04-19,-22.857,-7.429,10.857,-37.714,61.571,-33.143
Sweden,SWE,2020-04-20,-19.143,-5.143,8.857,-33.571,66.571,-25.286
Sweden,SWE,2020-04-21,-18.286,-4.857,8.429,-32.286,80.429,-24.571
Sweden,SWE,2020-04-22,-17.429,-4.714,8,-31.571,89.143,-23.714
Sweden,SWE,2020-04-23,-16.571,-4.571,7.714,-30.714,97,-23
Sweden,SWE,2020-04-24,-15.857,-4.286,7.571,-30.429,96.143,-22.286
Sweden,SWE,2020-04-25,-14.571,-3.714,7.571,-30.143,94.714,-22
Sweden,SWE,2020-04-26,-13.286,-3,7.571,-30.143,91.571,-21.714
Sweden,SWE,2020-04-27,-13.429,-3.143,7.714,-30.714,82.857,-21.714
Sweden,SWE,2020-04-28,-13.857,-3.143,7.714,-31.714,67.714,-21.714
Sweden,SWE,2020-04-29,-13.857,-2.286,7.857,-32.286,55,-21.714
Sweden,SWE,2020-04-30,-13.286,0,7.857,-32.857,46.286,-22.714
Sweden,SWE,2020-05-01,-18,-3.286,9.714,-36.571,44.143,-30.143
Sweden,SWE,2020-05-02,-18.571,-3.857,9.714,-37,45.286,-30.429
Sweden,SWE,2020-05-03,-19.286,-4.286,9.571,-36.857,47,-30.286
Sweden,SWE,2020-05-04,-19.429,-4.143,9.429,-36.857,49,-30.143
Sweden,SWE,2020-05-05,-19.143,-4,9.571,-36.429,56,-29.857
Sweden,SWE,2020-05-06,-19.286,-4.571,9.571,-36,63.143,-29.714
Sweden,SWE,2020-05-07,-19.857,-6.571,9.429,-35.429,69.143,-28.429
Sweden,SWE,2020-05-08,-15.286,-3.286,7.286,-31.286,76.143,-20.714
Sweden,SWE,2020-05-09,-14.714,-2.714,6.857,-29.857,85.429,-19.714
Sweden,SWE,2020-05-10,-15,-2.429,7.143,-31.143,76.857,-19.857
Sweden,SWE,2020-05-11,-14.857,-2.143,7.143,-30.857,78.857,-19.714
Sweden,SWE,2020-05-12,-15.429,-2.143,7.143,-31,73.286,-19.714
Sweden,SWE,2020-05-13,-16,-2.286,7.143,-31.429,68,-19.571
Sweden,SWE,2020-05-14,-16.429,-2.429,7.143,-31.857,62.714,-19.571
Sweden,SWE,2020-05-15,-16.857,-2.857,7.286,-32.143,57.429,-19.714
Sweden,SWE,2020-05-16,-17.286,-3.143,7.571,-33.429,44.571,-20
Sweden,SWE,2020-05-17,-17.286,-3.286,7.571,-32.857,46.571,-19.286
Sweden,SWE,2020-05-18,-17,-3.429,7.429,-32.571,48.857,-19.143
Sweden,SWE,2020-05-19,-15.857,-2.857,7.286,-32,54.857,-19
Sweden,SWE,2020-05-20,-12.571,0,6.714,-30.429,67.571,-19.286
Sweden,SWE,2020-05-21,-13.286,0.143,8,-31.571,98.857,-26.714
Sweden,SWE,2020-05-22,-12.286,0.143,8.429,-31.857,118.429,-31.143
Sweden,SWE,2020-05-23,-12.286,0.143,8.429,-32.429,119.143,-31.143
Sweden,SWE,2020-05-24,-11.571,0.143,8,-31.714,121.286,-31
Sweden,SWE,2020-05-25,-10,1.286,7.857,-31.143,126.143,-31.143
Sweden,SWE,2020-05-26,-8.714,1.571,7.571,-30.286,138.714,-30.857
Sweden,SWE,2020-05-27,-9.714,-0.143,7.857,-31,131.429,-30.286
Sweden,SWE,2020-05-28,-6.714,0.714,6.429,-28.714,108.857,-22.429
Sweden,SWE,2020-05-29,-5.571,1.571,5.429,-27,103.143,-17.571
Sweden,SWE,2020-05-30,-3.714,2.857,4.857,-23.714,121,-15.714
Sweden,SWE,2020-05-31,-1.286,5.429,4.286,-21.143,140.857,-13.714
Sweden,SWE,2020-06-01,-1.143,5.429,4,-20.286,154.571,-13.429
Sweden,SWE,2020-06-02,-1.286,5.571,3.857,-20.143,157.286,-13.429
Sweden,SWE,2020-06-03,-1.143,5.429,3.714,-19.429,166.429,-13.429
Sweden,SWE,2020-06-04,-1.429,5.286,3.571,-19.286,167.286,-13.571
Sweden,SWE,2020-06-05,-2.143,5,3.857,-20,157.429,-14
Sweden,SWE,2020-06-06,-4,3.857,4.429,-22.714,138.429,-15.714
Sweden,SWE,2020-06-07,-5,2.286,4.857,-24,126.571,-16.571
Sweden,SWE,2020-06-08,-4.857,2.143,5,-24.286,117.143,-16.571
Sweden,SWE,2020-06-09,-4.143,2.286,5,-24,116.429,-16.714
Sweden,SWE,2020-06-10,-3.429,2.571,4.857,-23.714,120.857,-17
Sweden,SWE,2020-06-11,-2.429,3.143,4.714,-23.429,128,-17.429
Sweden,SWE,2020-06-12,-1.857,3.143,4.429,-22.714,142.143,-17.857
Sweden,SWE,2020-06-13,-0.429,3.857,3.714,-19.571,167.714,-15.857
Sweden,SWE,2020-06-14,-0.143,4.571,3.143,-18.143,185.857,-15.143
Sweden,SWE,2020-06-15,0.429,5.143,3,-18,195.571,-16.143
Sweden,SWE,2020-06-16,0.143,5.571,3.143,-18.714,190.286,-17.286
Sweden,SWE,2020-06-17,0.429,7.286,3.143,-19,186.429,-18.286
Sweden,SWE,2020-06-18,1.857,11.571,2.857,-18.429,196.571,-19.857
Sweden,SWE,2020-06-19,-5.857,7.857,3.571,-21.143,212.429,-27
Sweden,SWE,2020-06-20,-11.143,4.429,3.714,-23.714,211.714,-30.571
Sweden,SWE,2020-06-21,-11.286,3.857,3.714,-24.857,200.714,-31.429
Sweden,SWE,2020-06-22,-11.143,4,4,-25.429,195.143,-32.571
Sweden,SWE,2020-06-23,-10.714,3.714,3.857,-24.714,213.857,-33.429
Sweden,SWE,2020-06-24,-11.429,2.143,3.714,-24.429,236.857,-34.143
Sweden,SWE,2020-06-25,-12.714,-1.571,3.857,-24.571,246.571,-34.143
Sweden,SWE,2020-06-26,-4.714,2.429,2.857,-21.429,249,-28.286
Sweden,SWE,2020-06-27,0.714,5.714,2.286,-18.143,262.429,-25.714
Sweden,SWE,2020-06-28,1.286,6.143,2.429,-17.571,264.571,-25.286
Sweden,SWE,2020-06-29,2,6,2.429,-17.429,268.286,-25.571
Sweden,SWE,2020-06-30,2.429,6,2.857,-18.714,247,-26.143
Sweden,SWE,2020-07-01,3.429,5.857,3.286,-19.571,225.429,-26.857
Sweden,SWE,2020-07-02,3.571,5,3.714,-20.429,206.857,-27.429
Sweden,SWE,2020-07-03,3.571,4.286,4.286,-21.286,187.143,-27.857
Sweden,SWE,2020-07-04,3.429,3.714,5.143,-23.857,155,-28.571
Sweden,SWE,2020-07-05,2.286,2.714,5.714,-25.714,139.857,-29.857
Sweden,SWE,2020-07-06,2,2.714,6.286,-26.714,133,-31.714
Sweden,SWE,2020-07-07,2.286,2.857,6.429,-26.571,146.857,-33.429
Sweden,SWE,2020-07-08,2,2.857,6.714,-27,153.286,-35.143
Sweden,SWE,2020-07-09,1.857,2.714,6.857,-27.143,165.571,-36.857
Sweden,SWE,2020-07-10,1.286,2.571,7.143,-27.714,169.143,-38.571
Sweden,SWE,2020-07-11,1.429,2.571,6.857,-26.429,184,-38.143
Sweden,SWE,2020-07-12,2.429,3,6.429,-24.429,202,-37.571
Sweden,SWE,2020-07-13,3,3.286,6.286,-23.857,222.429,-38.571
Sweden,SWE,2020-07-14,2.714,3.143,6.571,-24.286,228.714,-39.857
Sweden,SWE,2020-07-15,3,3.286,6.714,-24.571,234.857,-40.857
Sweden,SWE,2020-07-16,2.714,3.286,6.857,-24.571,247.286,-41.857
Sweden,SWE,2020-07-17,2.286,3.143,6.429,-23.857,273,-42.714
Sweden,SWE,2020-07-18,1.857,2.857,6,-22.714,291,-42.714
Sweden,SWE,2020-07-19,1.857,3,5.571,-22,302.714,-42.714
Sweden,SWE,2020-07-20,2,3.714,5.571,-22.286,300.143,-43
Sweden,SWE,2020-07-21,2.571,4.143,5.429,-22,306.571,-43.143
Sweden,SWE,2020-07-22,2.714,4.143,5.286,-21.429,319.429,-43.286
Sweden,SWE,2020-07-23,3,4.143,5.429,-21.857,312.857,-43.571
Sweden,SWE,2020-07-24,4.286,4.714,6,-22.857,289.714,-43.714
Sweden,SWE,2020-07-25,5.286,4.857,6,-22.714,285.857,-43.714
Sweden,SWE,2020-07-26,6,4.857,6.286,-23.429,272.429,-43.857
Sweden,SWE,2020-07-27,6.714,4.571,6.143,-22.857,279.143,-43.714
Sweden,SWE,2020-07-28,7,4.429,6.286,-23.143,268.714,-43.571
Sweden,SWE,2020-07-29,7.286,4.429,6.571,-23.714,250.714,-43.571
Sweden,SWE,2020-07-30,7.714,4.571,6.571,-24.143,238.571,-43.571
Sweden,SWE,2020-07-31,7,3.857,6.143,-23.429,255,-43.429
Sweden,SWE,2020-08-01,6.143,3.429,5.857,-23,265.714,-43.429
Sweden,SWE,2020-08-02,5.714,3.429,5.714,-22.714,266.571,-43.143
Sweden,SWE,2020-08-03,4.571,2.714,5.429,-22.714,258.286,-41.571
Sweden,SWE,2020-08-04,4,2.286,4.857,-21.714,267.714,-40
Sweden,SWE,2020-08-05,3.429,2,4.429,-21.429,266.143,-38.571
Sweden,SWE,2020-08-06,2.571,1.714,4,-20.429,278.143,-37
Sweden,SWE,2020-08-07,1.857,1.857,3.571,-20,283.571,-35.714
Sweden,SWE,2020-08-08,1.143,2,3.571,-20.286,284.429,-35.714
Sweden,SWE,2020-08-09,0.429,2,3.143,-19.571,299.571,-35.429
Sweden,SWE,2020-08-10,-0.571,1.714,2.857,-19.286,299,-34
Sweden,SWE,2020-08-11,-1.571,1.286,2.571,-19.143,295.857,-32.429
Sweden,SWE,2020-08-12,-2.286,0.857,2.143,-18.286,304.571,-30.714
Sweden,SWE,2020-08-13,-2.714,0.714,1.857,-18,297.143,-29
Sweden,SWE,2020-08-14,-2.429,0.857,1.714,-18,284.714,-27.429
Sweden,SWE,2020-08-15,-2.286,1,1.714,-18.143,279.286,-27.143
Sweden,SWE,2020-08-16,-2.714,0.857,1.857,-18.286,277.571,-27
Sweden,SWE,2020-08-17,-3.571,0.286,1.714,-18.143,273.286,-26.143
Sweden,SWE,2020-08-18,-4.143,0.143,1.571,-17.714,266.143,-25
Sweden,SWE,2020-08-19,-4.857,0,1.429,-17.429,253,-23.857
Sweden,SWE,2020-08-20,-5.143,-0.143,1.286,-17.286,237.429,-22.714
Sweden,SWE,2020-08-21,-5.143,0,1.429,-17,217.429,-21.429
Sweden,SWE,2020-08-22,-4.286,0.143,2.143,-18.714,190.286,-21.286
Sweden,SWE,2020-08-23,-4,-0.286,2.714,-20.286,164.286,-21.429
Sweden,SWE,2020-08-24,-4.286,-1,2.714,-20.286,149.143,-20.571
Sweden,SWE,2020-08-25,-3.429,-0.571,2.571,-20.143,136.286,-20.143
Sweden,SWE,2020-08-26,-3,-0.571,2.571,-20.286,125.429,-19.714
Sweden,SWE,2020-08-27,-2.429,-0.429,2.571,-20.143,120.571,-19.286
Sweden,SWE,2020-08-28,-1.714,-0.429,2.429,-20,116.857,-19
Sweden,SWE,2020-08-29,-1.286,-0.429,2.429,-20.571,107.571,-19.286
Sweden,SWE,2020-08-30,-0.571,-0.286,2.429,-20.286,107.571,-19.143
Sweden,SWE,2020-08-31,-0.429,-0.143,2.429,-20.286,105.571,-19.143
Sweden,SWE,2020-09-01,-1.429,-1,2.571,-20.286,105.429,-19.143
Sweden,SWE,2020-09-02,-2.143,-1.429,2.571,-20.429,106.143,-19.143
Sweden,SWE,2020-09-03,-3.286,-2,2.714,-20.857,103.143,-19.286
Sweden,SWE,2020-09-04,-3.857,-2,2.857,-21.143,101.143,-19.429
Sweden,SWE,2020-09-05,-3.857,-2,2.857,-20.714,104.857,-19.429
Sweden,SWE,2020-09-06,-4.714,-2.286,3,-21.143,103.286,-19.857
Sweden,SWE,2020-09-07,-5.143,-2.286,3,-21.143,104.286,-19.857
Sweden,SWE,2020-09-08,-5.857,-2.429,3.143,-21.857,96.857,-20
Sweden,SWE,2020-09-09,-6.571,-2.714,3.286,-22.429,90.571,-20
Sweden,SWE,2020-09-10,-6.429,-2.857,3.143,-22.143,92.429,-19.857
Sweden,SWE,2020-09-11,-6.571,-3,3,-22,93.571,-19.571
Sweden,SWE,2020-09-12,-7.286,-3.286,3,-22.714,88.143,-20
Sweden,SWE,2020-09-13,-7.571,-3.429,2.857,-22.857,86,-20.143
Sweden,SWE,2020-09-14,-7.857,-3.571,2.714,-22.714,85.714,-19.286
Sweden,SWE,2020-09-15,-7.714,-3.714,2.429,-22,92.429,-18.286
Sweden,SWE,2020-09-16,-7.571,-3.857,2.286,-21.429,96.429,-17.571
Sweden,SWE,2020-09-17,-7.857,-4.143,2.143,-21.571,95.286,-17
Sweden,SWE,2020-09-18,-7.429,-3.857,2,-21.286,96.571,-16.429
Sweden,SWE,2020-09-19,-6.571,-3.571,1.714,-19.857,107.571,-15.714
Sweden,SWE,2020-09-20,-6.429,-3.429,1.714,-19.571,110,-15.429
Sweden,SWE,2020-09-21,-6.429,-3.571,1.857,-19.714,106.429,-15.571
Sweden,SWE,2020-09-22,-6.429,-3.429,2,-20.143,101.571,-15.429
Sweden,SWE,2020-09-23,-6.286,-3.286,2,-20.286,103.143,-15.143
Sweden,SWE,2020-09-24,-6.429,-3.143,2.143,-20.571,99.429,-14.714
Sweden,SWE,2020-09-25,-5.857,-2.857,2.286,-21.143,92.429,-14.571
Sweden,SWE,2020-09-26,-5.286,-2.429,2.571,-22.429,79.714,-14.571
Sweden,SWE,2020-09-27,-4.286,-2,2.714,-22.571,78.571,-14.286
Sweden,SWE,2020-09-28,-4.143,-1.857,2.857,-22.857,75.143,-13.714
Sweden,SWE,2020-09-29,-4,-1.714,2.857,-23.143,70.429,-13.429
Sweden,SWE,2020-09-30,-3.571,-1.286,2.857,-23.143,66.857,-13.286
Sweden,SWE,2020-10-01,-3.286,-0.857,2.857,-23.286,64.143,-13
Sweden,SWE,2020-10-02,-4,-1.143,2.857,-23.286,64.286,-12.714
Sweden,SWE,2020-10-03,-4.714,-1.429,2.857,-23.286,65.286,-13
Sweden,SWE,2020-10-04,-6.286,-1.857,3.143,-24.571,54.571,-14
Sweden,SWE,2020-10-05,-6.571,-1.857,3,-24.429,57.143,-14
Sweden,SWE,2020-10-06,-7.429,-2.286,3.143,-24.857,51.286,-14.143
